yr_mth,orders,total_gmv,avg_order_value
2021-01,3835,8235232.0,2147.39
2021-02,3407,7467586.0,2191.84
2021-03,3813,8161469.0,2140.43
2021-04,3724,8211362.0,2204.98
2021-05,3848,8311954.0,2160.07
2021-06,3783,8175805.0,2161.2
2021-07,3984,8980397.0,2254.12
2021-08,3723,8224441.0,2209.09
2021-09,3670,8085255.0,2203.07
2021-10,3916,8762916.0,2237.72
2021-11,3798,8130917.0,2140.84
2021-12,3881,8404815.0,2165.63
2022-01,3847,8589968.0,2232.9
2022-02,3447,7286700.0,2113.93
2022-03,3947,8506555.0,2155.2
2022-04,3763,7991134.0,2123.61
2022-05,3849,8547532.0,2220.71
2022-06,3798,8211108.0,2161.96
2022-07,3893,8585515.0,2205.37
2022-08,3912,8309826.0,2124.19
2022-09,3683,8263398.0,2243.66
2022-10,3848,9082735.0,2360.38
2022-11,3765,7772688.0,2064.46
2022-12,3799,8497668.0,2236.82
2023-01,3926,8318963.0,2118.94
2023-02,3628,8326964.0,2295.19
2023-03,970,2164248.0,2231.18
