category,price,orders,avg_quantity
Books,15.15,985,1.0
Books,30.3,1008,2.0
Books,45.45000002,1000,3.0
Books,60.59999999,959,4.0
Books,75.74999999,1029,5.0
Clothing,300.08,6092,1.0
Clothing,600.16,6227,2.0
Clothing,900.2400001,6131,3.0
Clothing,1200.32,6155,4.0
Clothing,1500.4,6166,5.0
Cosmetics,340.66,2986,1.0
Cosmetics,381.32,2974,2.0
Cosmetics,421.98,3072,3.0
Cosmetics,462.64,3010,4.0
Cosmetics,503.3,3055,5.0
Food & Beverage,5.229999999,3002,1.0
Food & Beverage,10.46,2909,2.0
Food & Beverage,15.69,2992,3.0
Food & Beverage,20.92,2884,4.0
Food & Beverage,26.15,2989,5.0
Food & Beverage,300.08,241,1.0
Food & Beverage,600.16,193,2.0
Food & Beverage,900.2400001,211,3.0
Food & Beverage,1200.32,210,4.0
Food & Beverage,1500.4,234,5.0
Shoes,171.48,1944,1.0
Shoes,342.95,2045,2.0
Shoes,514.43,2010,3.0
Shoes,685.91,2022,4.0
Shoes,857.39,2013,5.0
Souvenir,11.73,1024,1.0
Souvenir,23.46,984,2.0
Souvenir,35.18999999,1076,3.0
Souvenir,35.19,1,3.0
Souvenir,46.92000002,922,4.0
Souvenir,58.65,1,5.0
Souvenir,58.65000001,991,5.0
Technology,300.08,508,1.0
Technology,600.16,530,2.0
Technology,900.2400001,565,3.0
Technology,1050.0,985,1.0
Technology,1200.32,484,4.0
Technology,1500.4,540,5.0
Technology,2100.0,1000,2.0
Technology,3150.0,1009,3.0
Technology,4200.0,1001,4.0
Technology,5250.0,1001,5.0
Toys,35.84,2000,1.0
Toys,71.68,1958,2.0
Toys,107.52,2082,3.0
Toys,143.36,2076,4.0
Toys,179.2,1971,5.0
