yr_mth,payment_method,orders,total_gmv
2021-01,Alipay,1339,2987311.0
2021-01,Card,1751,3785713.0
2021-01,WeChat Pay,745,1462207.0
2021-02,Alipay,1232,2856368.0
2021-02,Card,1480,3307869.0
2021-02,WeChat Pay,695,1303349.0
2021-03,Alipay,1332,2915555.0
2021-03,Card,1677,3624171.0
2021-03,WeChat Pay,804,1621742.0
2021-04,Alipay,1296,2774389.0
2021-04,Card,1646,3664582.0
2021-04,WeChat Pay,782,1772391.0
2021-05,Alipay,1396,2970155.0
2021-05,Card,1685,3678429.0
2021-05,WeChat Pay,767,1663370.0
2021-06,Alipay,1283,2768426.0
2021-06,Card,1733,3888803.0
2021-06,WeChat Pay,767,1518576.0
2021-07,Alipay,1403,3153529.0
2021-07,Card,1758,3903051.0
2021-07,WeChat Pay,823,1923816.0
2021-08,Alipay,1303,2931689.0
2021-08,Card,1679,3786190.0
2021-08,WeChat Pay,741,1506562.0
2021-09,Alipay,1317,2840732.0
2021-09,Card,1620,3627102.0
2021-09,WeChat Pay,733,1617421.0
2021-10,Alipay,1357,3006361.0
2021-10,Card,1734,3894274.0
2021-10,WeChat Pay,825,1862281.0
2021-11,Alipay,1263,2738007.0
2021-11,Card,1750,3693301.0
2021-11,WeChat Pay,785,1699608.0
2021-12,Alipay,1359,2858294.0
2021-12,Card,1728,3690777.0
2021-12,WeChat Pay,794,1855744.0
2022-01,Alipay,1341,3031526.0
2022-01,Card,1711,4048983.0
2022-01,WeChat Pay,795,1509459.0
2022-02,Alipay,1232,2556932.0
2022-02,Card,1510,3035342.0
2022-02,WeChat Pay,705,1694426.0
2022-03,Alipay,1370,2742838.0
2022-03,Card,1760,3851609.0
2022-03,WeChat Pay,817,1912107.0
2022-04,Alipay,1359,2767139.0
2022-04,Card,1672,3630511.0
2022-04,WeChat Pay,732,1593485.0
2022-05,Alipay,1350,2875239.0
2022-05,Card,1724,3906284.0
2022-05,WeChat Pay,775,1766009.0
2022-06,Alipay,1385,2898496.0
2022-06,Card,1717,3806887.0
2022-06,WeChat Pay,696,1505725.0
2022-07,Alipay,1357,2863821.0
2022-07,Card,1745,4005636.0
2022-07,WeChat Pay,791,1716058.0
2022-08,Alipay,1395,3043816.0
2022-08,Card,1732,3476196.0
2022-08,WeChat Pay,785,1789814.0
2022-09,Alipay,1286,2820922.0
2022-09,Card,1654,3874269.0
2022-09,WeChat Pay,743,1568208.0
2022-10,Alipay,1326,3424808.0
2022-10,Card,1742,3691570.0
2022-10,WeChat Pay,780,1966357.0
2022-11,Alipay,1328,2793454.0
2022-11,Card,1691,3469904.0
2022-11,WeChat Pay,746,1509330.0
2022-12,Alipay,1323,3008656.0
2022-12,Card,1722,3657714.0
2022-12,WeChat Pay,754,1831298.0
2023-01,Alipay,1407,2991150.0
2023-01,Card,1753,3704794.0
2023-01,WeChat Pay,766,1623019.0
2023-02,Alipay,1260,2874506.0
2023-02,Card,1638,3813439.0
2023-02,WeChat Pay,730,1639019.0
2023-03,Alipay,332,638720.0
2023-03,Card,435,1020705.0
2023-03,WeChat Pay,203,504823.0
